
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3446.06 	###

	### HTandRX's Agent 	#  3264.14 	###

	### jet2holiday  	#  2933.64 	###

	### orange       	#  2833.92 	###

	### sudo         	#  2755.23 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2508.29 	###

	### qwer         	#  1911.96 	###

	### brawl_stars  	#  1855.90 	###

	### GigaBot      	#  1521.33 	###

	### RandomBot67  	#   661.43 	###

	### 67 Random Search v2 	#   517.94 	###

	### TA - Tier 1 Agent 	#   414.55 	###

	### 67           	#    -2.88 	###

	### Tier 3 Agent 	#    -5.56 	###

	### NikhilxCamilo 	#   -95.97 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5461.61 	###

	### GigaBot      	#  3820.43 	###

	### RandomBot67  	#  3635.25 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3209.68 	###

	### brawl_stars  	#  2598.96 	###

	### qwer         	#  1994.23 	###

	### 67 Random Search v2 	#  1711.10 	###

	### jet2holiday  	#  1194.63 	###

	### 67           	#   744.09 	###

	### HTandRX's Agent 	#   584.17 	###

	###              	#   444.05 	###

	### Tier 3 Agent 	#   -11.04 	###

	### orange       	#  -153.52 	###

	### NikhilxCamilo 	#  -210.55 	###

	### TA - Tier 1 Agent 	# -3609.57 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  3897.09 	###

	### HTandRX's Agent 	#  3179.59 	###

	###              	#  3130.04 	###

	### sudo         	#  3059.83 	###

	### 67 Random Search v2 	#  2883.77 	###

	### jet2holiday  	#  2012.32 	###

	### RandomBot67  	#  1883.65 	###

	### 67           	#  1868.86 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1749.63 	###

	### GigaBot      	#   617.56 	###

	### qwer         	#    60.32 	###

	### Tier 3 Agent 	#    -3.84 	###

	### NikhilxCamilo 	#  -385.37 	###

	### TA - Tier 1 Agent 	#  -489.75 	###

	### orange       	#  -777.30 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  6720.60 	###

	### GigaBot      	#  3825.61 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3308.13 	###

	### brawl_stars  	#  2428.62 	###

	### qwer         	#  1576.87 	###

	### 67 Random Search v2 	#  1567.66 	###

	###              	#  1360.50 	###

	### NikhilxCamilo 	#  1158.10 	###

	### HTandRX's Agent 	#  1154.39 	###

	### sudo         	#   334.07 	###

